timestamp,event_type,user_id,ip_address,file_path,process_name,login_attempts,session_duration,data_transferred,hour_of_day,is_anomaly
2025-10-05 22:37:36.459856,REGISTRY_CHANGE,user_74,192.168.1.5,,firefox,0,0,0,8,0
2025-10-05 22:39:36.459856,NETWORK_CONNECTION,user_10,192.168.1.54,,chrome,0,0,726198,13,0
2025-10-05 22:40:36.459856,NETWORK_CONNECTION,user_90,192.168.1.90,,firefox,0,0,172375,15,0
2025-10-05 22:50:36.459856,FILE_ACCESS,user_10,192.168.1.230,/usr/bin/,chrome,0,0,0,10,0
2025-10-05 22:51:36.459856,NETWORK_CONNECTION,user_89,192.168.1.6,,bash,0,0,860724,16,0
2025-10-05 23:00:36.459856,REGISTRY_CHANGE,user_88,192.168.1.100,,bash,0,0,0,15,0
2025-10-05 23:01:36.459856,LOGIN,user_9,192.168.1.47,,python,2,2510,0,11,0
2025-10-05 23:01:36.459856,FILE_ACCESS,user_24,192.168.1.252,/etc/,bash,0,0,0,12,0
2025-10-05 23:08:36.459856,LOGOUT,user_3,192.168.1.65,,ssh,0,2560,0,10,0
2025-10-05 23:09:36.459856,LOGIN,user_85,192.168.1.191,,mysql,5,422,0,12,0
2025-10-05 23:10:36.459856,PROCESS_START,user_73,192.168.1.251,,bash,0,0,0,13,0
2025-10-05 23:13:36.459856,NETWORK_CONNECTION,user_15,192.168.1.254,,firefox,0,0,770784,15,0
2025-10-05 23:16:36.459856,NETWORK_CONNECTION,user_83,192.168.1.48,,ssh,0,0,729386,11,0
2025-10-05 23:36:36.459856,LOGIN,user_50,192.168.1.46,,python,5,1977,0,16,0
2025-10-05 23:36:36.459856,NETWORK_CONNECTION,user_82,192.168.1.26,,python,0,0,691481,8,0
2025-10-05 23:37:36.459856,PROCESS_START,user_87,192.168.1.74,,ssh,0,0,0,4,1
2025-10-05 23:45:36.459856,PROCESS_START,user_8,192.168.1.3,,ssh,0,0,0,9,0
2025-10-05 23:50:36.459856,LOGIN,user_25,192.168.1.175,,chrome,5,3462,0,15,0
2025-10-06 00:08:36.459856,LOGIN,user_73,192.168.1.23,,mysql,4,90,0,11,0
2025-10-06 00:08:36.459856,LOGOUT,user_22,192.168.1.166,,firefox,0,1143,0,14,0
2025-10-06 00:12:36.459856,REGISTRY_CHANGE,user_70,192.168.1.210,,mysql,0,0,0,12,0
2025-10-06 00:16:36.459856,REGISTRY_CHANGE,user_34,192.168.1.162,,apache2,0,0,0,16,0
2025-10-06 00:20:36.459856,PROCESS_START,user_89,192.168.1.119,,apache2,0,0,0,16,0
2025-10-06 00:23:36.459856,REGISTRY_CHANGE,user_71,192.168.1.228,,chrome,0,0,0,16,0
2025-10-06 00:30:36.459856,REGISTRY_CHANGE,user_82,192.168.1.252,,python,0,0,0,18,0
2025-10-06 00:31:36.459856,REGISTRY_CHANGE,user_74,192.168.1.101,,apache2,0,0,0,17,0
2025-10-06 00:37:36.459856,FILE_ACCESS,user_3,192.168.1.120,/usr/bin/,python,0,0,0,14,0
2025-10-06 00:39:36.459856,FILE_ACCESS,user_71,192.168.1.177,/usr/bin/,apache2,0,0,0,14,0
2025-10-06 00:40:36.459856,PROCESS_START,user_23,192.168.1.248,,chrome,0,0,0,18,0
2025-10-06 00:41:36.459856,REGISTRY_CHANGE,user_6,192.168.1.224,,firefox,0,0,0,14,0
2025-10-06 00:44:36.459856,LOGIN,user_80,192.168.1.76,,python,5,680,0,18,0
2025-10-06 00:44:36.459856,FILE_ACCESS,user_34,192.168.1.156,/var/log/,bash,0,0,0,12,0
2025-10-06 00:44:36.459856,REGISTRY_CHANGE,user_25,192.168.1.8,,firefox,0,0,0,16,0
2025-10-06 00:55:36.459856,NETWORK_CONNECTION,user_34,192.168.1.238,,python,0,0,730529,15,0
2025-10-06 00:57:36.459856,NETWORK_CONNECTION,user_76,192.168.1.176,,chrome,0,0,115630,17,0
2025-10-06 00:59:36.459856,LOGOUT,user_94,192.168.1.254,,ssh,0,1051,0,14,0
2025-10-06 01:01:36.459856,NETWORK_CONNECTION,user_7,192.168.1.246,,chrome,0,0,943287,12,0
2025-10-06 01:01:36.459856,NETWORK_CONNECTION,user_70,192.168.1.37,,apache2,0,0,659837,10,0
2025-10-06 01:13:36.459856,LOGOUT,user_72,192.168.1.39,,python,0,297,0,16,0
2025-10-06 01:13:36.459856,REGISTRY_CHANGE,user_63,192.168.1.73,,python,0,0,0,9,0
2025-10-06 01:23:36.459856,REGISTRY_CHANGE,user_100,192.168.1.174,,mysql,0,0,0,17,0
2025-10-06 01:24:36.459856,REGISTRY_CHANGE,user_17,192.168.1.117,,chrome,0,0,0,17,0
2025-10-06 01:24:36.459856,NETWORK_CONNECTION,user_65,192.168.1.48,,chrome,0,0,699428,15,0
2025-10-06 01:28:36.459856,NETWORK_CONNECTION,user_18,192.168.1.2,,bash,0,0,309353,15,0
2025-10-06 01:28:36.459856,PROCESS_START,user_82,192.168.1.85,,apache2,0,0,0,14,0
2025-10-06 01:33:36.459856,LOGIN,user_6,192.168.1.143,,ssh,1,858,0,9,0
2025-10-06 01:36:36.459856,NETWORK_CONNECTION,user_63,192.168.1.118,,mysql,0,0,8540,10,0
2025-10-06 01:48:36.459856,NETWORK_CONNECTION,user_81,192.168.1.41,,python,0,0,203976,9,0
2025-10-06 01:49:36.459856,REGISTRY_CHANGE,user_84,192.168.1.162,,bash,0,0,0,18,0
2025-10-06 01:51:36.459856,REGISTRY_CHANGE,user_28,192.168.1.149,,firefox,0,0,0,14,0
2025-10-06 01:53:36.459856,PROCESS_START,user_89,192.168.1.229,,bash,0,0,0,8,0
2025-10-06 01:57:36.459856,FILE_ACCESS,user_81,192.168.1.197,/home/user/documents/,bash,0,0,0,9,0
2025-10-06 01:58:36.459856,LOGOUT,user_57,192.168.1.164,,firefox,0,3302,0,18,0
2025-10-06 02:02:36.459856,FILE_ACCESS,user_51,192.168.1.16,/etc/,python,0,0,0,13,0
2025-10-06 02:04:36.459856,FILE_ACCESS,user_3,192.168.1.170,/etc/passwd,firefox,0,0,0,5,1
2025-10-06 02:05:36.459856,PROCESS_START,user_84,192.168.1.18,,chrome,0,0,0,17,0
2025-10-06 02:06:36.459856,NETWORK_CONNECTION,user_34,192.168.1.162,,ssh,0,0,347409,12,0
2025-10-06 02:08:36.459856,LOGIN,user_25,192.168.1.208,,bash,5,3373,0,15,0
2025-10-06 02:19:36.459856,LOGOUT,user_23,192.168.1.29,,firefox,0,2099,0,8,0
2025-10-06 02:21:36.459856,LOGIN,user_39,192.168.1.119,,bash,4,3382,0,16,0
2025-10-06 02:23:36.459856,FILE_ACCESS,user_72,192.168.1.251,/var/log/,python,0,0,0,8,0
2025-10-06 02:23:36.459856,FILE_ACCESS,user_36,192.168.1.242,/tmp/,python,0,0,0,17,0
2025-10-06 02:24:36.459856,FILE_ACCESS,user_79,192.168.1.220,/etc/,ssh,0,0,0,18,0
2025-10-06 02:26:36.459856,FILE_ACCESS,user_69,192.168.1.248,/root/.ssh/,apache2,0,0,0,16,1
2025-10-06 02:29:36.459856,PROCESS_START,user_23,192.168.1.45,,bash,0,0,0,12,0
2025-10-06 02:29:36.459856,LOGIN,user_30,192.168.1.89,,apache2,5,627,0,8,0
2025-10-06 02:34:36.459856,NETWORK_CONNECTION,user_17,192.168.1.163,,ssh,0,0,229342,17,0
2025-10-06 02:37:36.459856,PROCESS_START,user_46,192.168.1.5,,python,0,0,0,13,0
2025-10-06 02:43:36.459856,FILE_ACCESS,user_89,192.168.1.8,/tmp/,python,0,0,0,9,0
2025-10-06 02:49:36.459856,FILE_ACCESS,user_61,192.168.1.34,/usr/bin/,python,0,0,0,8,0
2025-10-06 02:55:36.459856,REGISTRY_CHANGE,user_52,192.168.1.144,,bash,0,0,0,17,0
2025-10-06 02:56:36.459856,LOGIN,user_62,192.168.1.11,,bash,1,1092,0,13,0
2025-10-06 03:00:36.459856,LOGIN,user_36,192.168.1.138,,firefox,1,2287,0,15,0
2025-10-06 03:09:36.459856,FILE_ACCESS,user_91,192.168.1.253,/etc/,python,0,0,0,11,0
2025-10-06 03:12:36.459856,PROCESS_START,user_19,192.168.1.67,,apache2,0,0,0,14,0
2025-10-06 03:20:36.459856,FILE_ACCESS,user_48,192.168.1.95,/usr/bin/,mysql,0,0,0,13,0
2025-10-06 03:24:36.459856,FILE_ACCESS,user_71,192.168.1.64,/root/.ssh/,python,0,0,0,8,1
2025-10-06 03:27:36.459856,FILE_ACCESS,user_16,192.168.1.144,/home/user/documents/,python,0,0,0,13,0
2025-10-06 03:31:36.459856,NETWORK_CONNECTION,user_27,192.168.1.11,,python,0,0,907880,17,0
2025-10-06 03:39:36.459856,LOGIN,user_69,192.168.1.52,,chrome,5,790,0,8,0
2025-10-06 03:44:36.459856,LOGOUT,user_85,192.168.1.209,,python,0,3395,0,13,0
2025-10-06 03:49:36.459856,REGISTRY_CHANGE,user_28,192.168.1.40,,bash,0,0,0,12,0
2025-10-06 03:58:36.459856,NETWORK_CONNECTION,user_84,192.168.1.178,,chrome,0,0,871247,13,0
2025-10-06 04:08:36.459856,PROCESS_START,user_70,192.168.1.12,,bash,0,0,0,12,0
2025-10-06 04:12:36.459856,LOGIN,user_95,192.168.1.99,,apache2,1,1363,0,16,0
2025-10-06 04:12:36.459856,PROCESS_START,user_84,192.168.1.179,,chrome,0,0,0,15,0
2025-10-06 04:18:36.459856,LOGIN,user_3,192.168.1.66,,firefox,5,2171,0,10,0
2025-10-06 04:34:36.459856,LOGOUT,user_24,192.168.1.39,,apache2,0,701,0,18,0
2025-10-06 04:37:36.459856,LOGIN,user_100,192.168.1.109,,ssh,5,1030,0,16,0
2025-10-06 04:39:36.459856,NETWORK_CONNECTION,user_49,192.168.1.169,,ssh,0,0,450121,15,0
2025-10-06 04:39:36.459856,FILE_ACCESS,user_44,192.168.1.124,/home/user/documents/,bash,0,0,0,5,1
2025-10-06 04:43:36.459856,FILE_ACCESS,user_60,192.168.1.182,/var/log/,mysql,0,0,0,8,0
2025-10-06 04:47:36.459856,LOGIN,user_85,192.168.1.226,,python,2,324,0,17,0
2025-10-06 04:47:36.459856,REGISTRY_CHANGE,user_14,192.168.1.168,,python,0,0,0,9,0
2025-10-06 04:50:36.459856,NETWORK_CONNECTION,user_76,192.168.1.84,,bash,0,0,561909,16,0
2025-10-06 04:53:36.459856,LOGOUT,user_13,192.168.1.142,,chrome,0,1996,0,14,0
2025-10-06 04:54:36.459856,FILE_ACCESS,user_6,192.168.1.168,/etc/,firefox,0,0,0,15,0
2025-10-06 04:55:36.459856,LOGIN,user_17,192.168.1.48,,apache2,4,385,0,10,0
2025-10-06 04:57:36.459856,NETWORK_CONNECTION,user_15,192.168.1.4,,firefox,0,0,424869,15,0
2025-10-06 05:30:36.459856,LOGIN,user_23,192.168.1.238,,mysql,4,2850,0,18,0
